Pathway_categories,Number,Type
Lyase activity,6,biological_process
Lyase activity,6,molecular_function
Zinc ion homeostasis,2,biological_process
Positive regulation of camp-dependent protein kinase activity,2,biological_process
Negative regulation of sprouting angiogenesis,2,biological_process
Gtp biosynthetic process,2,biological_process
Regulation of neuron death,3,biological_process
Translation initiation factor binding,3,molecular_function
Synapse maturation,4,biological_process
Positive regulation of cytosolic calcium ion concentration involved in phospholipase c-activating g protein-coupled signaling pathway,9,biological_process
Lysosome organization,10,biological_process
Regulation of muscle contraction,4,biological_process
Negative regulation of oligodendrocyte differentiation,6,biological_process
Rage receptor binding,2,molecular_function
Positive regulation of secretion,2,biological_process
Inhibitory synapse,4,cellular_component
Drug catabolic process,2,biological_process
Negative regulation of bmp signaling pathway,4,biological_process
L-fucose catabolic process,4,biological_process
Platelet-derived growth factor receptor binding,4,molecular_function
Structural constituent of eye lens,6,molecular_function
Fibrinolysis,11,biological_process
Positive regulation of b cell proliferation,9,biological_process
Positive regulation of mrna binding,4,biological_process
Response to cytokine,11,biological_process
Response to cytokine,11,molecular_function
Embryonic hemopoiesis,5,biological_process
Dopaminergic neuron differentiation,3,biological_process
Female gonad development,8,biological_process
Immune response-regulating cell surface receptor signaling pathway,4,biological_process
Cerebellar cortex morphogenesis,1,biological_process
Osteoclast fusion,2,biological_process
Immune response-regulating cell surface receptor signaling pathway,4,molecular_function
High-affinity glutamate transmembrane transporter activity,2,molecular_function
Cellular response to cisplatin,2,biological_process
Epsilon dna polymerase complex,2,cellular_component
Dna damage induced protein phosphorylation,2,biological_process
Pyridoxal phosphate binding,20,molecular_function
Establishment of protein localization to membrane,3,biological_process
Dosage compensation by inactivation of x chromosome,1,biological_process
Cellular hypotonic response,3,biological_process
Sterol biosynthetic process,5,biological_process
Meiotic cohesin complex,2,cellular_component
2-acylglycerol o-acyltransferase activity,2,molecular_function
Positive regulation of cytokine production involved in inflammatory response,4,biological_process
Mannosyltransferase activity,6,molecular_function
Positive regulation of double-strand break repair via nonhomologous end joining,4,biological_process
Regulation of type i interferon production,5,biological_process
Cell-cell adhesion via plasma-membrane adhesion molecules,3,biological_process
Melanosome membrane,5,cellular_component
Mhc class ii protein complex,3,cellular_component
Telomerase rna binding,6,molecular_function
Cellular response to peptide,5,biological_process
Beta-galactoside (cmp) alpha-2,2,molecular_function
Low-density lipoprotein particle remodeling,9,biological_process
Glycine n-acyltransferase activity,3,molecular_function
Release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,2,biological_process
Hyaluronan biosynthetic process,4,biological_process
Negative regulation of hormone secretion,3,biological_process
Isotype switching,3,biological_process
Nuclease activity,5,biological_process
Nuclease activity,5,molecular_function
Cytokine receptor activity,12,molecular_function
Carnitine biosynthetic process,2,biological_process
Filamentous actin,3,cellular_component
Negative regulation of glial cell apoptotic process,6,biological_process
Positive regulation of pri-mirna transcription by rna polymerase ii,6,biological_process
Negative regulation of norepinephrine secretion,3,biological_process
Replication fork protection complex,3,cellular_component
Excretion,18,biological_process
Photoreceptor connecting cilium,11,cellular_component
Leading edge membrane,6,cellular_component
Uridine kinase activity,2,molecular_function
Negative regulation of dendritic cell apoptotic process,1,biological_process
Selenium binding,4,molecular_function
Positive regulation of receptor internalization,4,biological_process
Copi vesicle coat,8,cellular_component
Integral component of mitochondrial inner membrane,14,cellular_component
Atp-dependent 5'-3' dna helicase activity,1,molecular_function
Positive regulation of dendritic spine morphogenesis,10,biological_process
Semaphorin-plexin signaling pathway involved in axon guidance,5,biological_process
Apical junction complex,6,cellular_component
Protein serine/threonine phosphatase inhibitor activity,2,molecular_function
Cellular respiration,7,biological_process
Deadenylation-dependent decapping of nuclear-transcribed mrna,6,biological_process
Poly-n-acetyllactosamine biosynthetic process,2,biological_process
Ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,4,biological_process
Locomotory exploration behavior,2,biological_process
Regulation of grooming behavior,2,biological_process
Fructose metabolic process,5,biological_process
T cell differentiation,13,biological_process
Endothelial cell chemotaxis,0,biological_process
Negative regulation of delayed rectifier potassium channel activity,2,biological_process
Neural tube formation,3,biological_process
Oxygen binding,7,molecular_function
Neuron-neuron synaptic transmission,2,biological_process
Cul5-ring ubiquitin ligase complex,2,cellular_component
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity,2,molecular_function
1-acylglycerophosphocholine o-acyltransferase activity,3,molecular_function
Type b pancreatic cell development,3,biological_process
Cajal body,8,cellular_component
Protein catabolic process,10,biological_process
Autocrine signaling,3,biological_process
Regulation of delayed rectifier potassium channel activity,2,biological_process
Regulation of innate immune response,3,biological_process
Ribosomal large subunit binding,5,molecular_function
Base-excision repair,5,biological_process
Limb development,8,biological_process
Negative regulation of myosin-light-chain-phosphatase activity,1,biological_process
Chondroblast differentiation,1,biological_process
Amino acid:proton symporter activity,3,molecular_function
Suckling behavior,6,biological_process
Inositol-1,5,molecular_function
Gdp metabolic process,3,biological_process
Positive regulation of axon extension involved in axon guidance,3,biological_process
Glycoside catabolic process,4,biological_process
Neurotrophin trka receptor binding,2,molecular_function
Labyrinthine layer blood vessel development,3,biological_process
Tooth eruption,3,biological_process
S-adenosylmethionine-dependent methyltransferase activity,5,molecular_function
Epoxygenase p450 pathway,3,biological_process
Metanephric s-shaped body morphogenesis,1,biological_process
Rna strand annealing activity,3,molecular_function
Metabolic process,11,biological_process
Metabolic process,11,molecular_function
Proton channel activity,3,molecular_function
Immunoglobulin mediated immune response,5,biological_process
Haus complex,2,cellular_component
Negative regulation of cytokine production,4,biological_process
Positive regulation of t cell receptor signaling pathway,2,biological_process
Stress granule disassembly,1,biological_process
Small molecule binding,5,biological_process
Small molecule binding,5,molecular_function
Cardiac myofibril,2,cellular_component
Tubulin complex assembly,3,biological_process
